01:20,04:30,05:30,06:20,06:43,07:10,08:10,09:05,09:45,10:05,11:05,12:10,13:05,13:50,14:25,15:30,15:40,17:22,17:40,18:05,19:10,19:35,19:50,20:20,21:45,23:10
01:25,04:35,05:35,06:25,00:00,07:15,08:15,09:10,09:50,10:10,11:10,12:15,13:10,13:55,14:30,15:35,15:40,17:27,17:45,18:10,19:15,19:40,19:55,20:25,21:50,23:15
01:30,04:40,05:40,06:30,00:00,07:20,08:20,09:15,09:55,10:15,11:15,12:20,13:15,14:00,14:35,15:40,00:00,17:32,17:50,18:15,19:20,19:45,20:00,20:30,21:55,23:20
01:36,04:46,05:46,06:36,07:08,07:26,08:26,09:21,10:00,10:21,11:21,12:26,13:21,14:05,14:41,15:46,16:27,17:37,17:56,18:21,19:26,19:51,20:06,20:36,22:01,23:26
01:38,04:48,05:48,06:38,07:10,07:28,08:28,09:23,10:02,10:23,11:23,12:30,13:23,14:07,14:43,15:48,16:29,17:39,17:58,18:23,19:28,19:53,20:08,20:38,22:03,23:28
01:40,04:50,05:50,06:40,07:12,07:30,08:30,09:25,10:04,10:25,11:25,12:32,13:25,14:09,14:45,15:50,16:31,17:41,18:00,18:25,19:30,19:55,20:10,20:40,22:05,23:30
01:42,04:52,05:52,06:42,07:14,07:32,08:32,09:27,10:06,10:27,11:27,12:34,13:27,14:11,14:47,15:52,16:33,17:43,18:02,18:27,19:32,19:57,20:12,20:42,22:07,23:32
01:45,04:55,05:55,06:45,07:17,07:35,08:35,09:30,10:09,10:30,11:30,12:37,13:30,14:14,14:50,15:55,16:36,17:46,18:05,18:30,19:35,20:00,20:15,20:45,22:10,23:35
01:49,04:59,05:59,06:49,07:21,07:39,08:39,09:34,10:13,10:34,11:34,12:41,13:34,14:18,14:54,15:59,16:40,17:50,18:09,18:34,19:39,20:04,20:19,20:49,22:14,23:39
01:52,05:02,06:02,06:52,07:24,07:42,08:42,09:37,10:16,10:37,11:37,12:44,13:37,14:21,14:57,16:02,16:43,17:53,18:12,18:37,19:42,20:07,20:22,20:52,22:17,23:42
01:55,05:05,06:05,06:55,07:27,07:45,08:45,09:40,10:19,10:40,11:40,12:47,13:40,14:24,15:00,16:05,16:46,17:56,18:15,18:40,19:45,20:10,20:25,20:55,22:20,23:45
01:58,05:08,06:08,06:58,07:30,07:48,08:48,09:43,10:22,10:43,11:43,12:50,13:43,14:27,15:03,16:08,16:49,17:59,18:18,18:43,19:48,20:13,20:28,20:58,22:23,23:48
02:01,05:11,06:11,07:01,07:33,07:51,08:51,09:46,10:25,10:46,11:46,12:53,13:46,14:30,15:06,16:11,16:52,18:02,18:21,18:46,19:51,20:16,20:31,21:01,22:26,23:51
02:06,05:16,06:16,07:08,07:38,08:00,09:00,09:51,10:30,10:51,11:55,12:58,13:51,14:35,15:11,16:16,16:57,18:07,18:26,18:51,20:05,20:25,20:36,21:10,22:40,00:05
02:10,05:20,06:20,07:12,07:42,,,09:55,10:34,10:55,,13:02,13:55,14:39,15:15,16:20,17:01,18:11,18:30,18:55,,,20:40,,,
02:12,05:22,06:22,07:14,07:44,,,09:58,10:36,10:58,,13:04,13:57,14:42,15:17,16:22,17:03,18:14,18:32,18:57,,,20:42,,,
02:16,05:26,06:25,07:17,07:48,,,,10:40,,,13:08,14:01,,15:21,16:26,17:07,,18:36,19:01,,,20:46,,,
02:19,05:29,06:29,07:21,07:51,,,,10:43,,,13:11,14:04,,15:24,16:29,17:10,,18:39,19:04,,,20:49,,,
02:23,05:33,06:33,07:25,07:55,,,,10:47,,,13:15,14:08,,15:28,16:33,17:14,,18:43,19:08,,,20:53,,,
02:27,05:37,06:37,07:29,07:59,,,,10:51,,,13:19,14:12,,15:32,16:37,17:18,,18:47,19:12,,,20:57,,,
02:30,05:40,06:40,07:32,08:02,,,,10:54,,,13:22,14:15,,15:35,16:40,17:21,,18:50,19:15,,,21:00,,,
02:36,05:46,06:50,07:40,08:10,,,,11:10,,,13:35,14:30,,15:41,16:50,17:35,,19:05,19:21,,,21:10,,,
02:40,05:50,,,,,,,,,,13:39,,,15:45,,,,,19:25,,,,,,
02:44,05:54,,,,,,,,,,13:43,,,15:49,,,,,19:29,,,,,,
02:48,05:58,,,,,,,,,,13:47,,,15:53,,,,,19:33,,,,,,
02:52,06:02,,,,,,,,,,13:51,,,15:57,,,,,19:37,,,,,,
02:57,06:07,,,,,,,,,,13:56,,,16:02,,,,,19:42,,,,,,
03:03,06:13,,,,,,,,,,14:02,,,16:08,,,,,19:48,,,,,,
03:07,06:17,,,,,,,,,,14:06,,,16:12,,,,,19:52,,,,,,
03:20,06:30,,,,,,,,,,14:20,,,16:30,,,,,20:05,,,,,,
,,,,,,,,,,,14:40,,,,,,,,,,,,,,
