,,07:25,,,,17:20,,
,,07:39,,,,17:34,,
,,07:46,,,,17:41,,
,,07:55,,,,17:50,,
,,08:10,08:45,,16:30,18:00,20:15,21:30
,,08:17,08:52,,16:37,18:07,20:22,21:37
07:00,,08:26,09:01,15:40,16:46,18:11,20:31,21:46
07:08,,08:34,09:09,15:48,16:54,18:19,20:39,21:54
07:12,,08:38,09:13,15:52,16:58,18:23,20:43,21:58
07:15,,08:41,09:16,15:55,17:01,18:26,20:46,22:01
07:17,,08:43,09:18,15:57,17:03,18:28,20:48,22:03
07:20,,08:46,09:21,16:00,17:06,18:31,20:51,22:06
07:24,06:43,08:50,09:25,16:05,17:10,19:35,20:55,22:10
07:26,06:45,08:52,09:27,16:07,17:12,18:37,20:57,22:12
07:29,06:48,08:55,09:30,16:10,17:15,18:40,21:00,22:15
07:33,06:52,08:59,09:34,16:14,17:19,18:44,21:04,22:19
07:36,06:55,09:02,09:37,16:17,17:22,18:47,21:07,22:22
07:38,06:57,09:04,09:39,16:19,17:24,18:49,21:09,22:24
07:40,06:59,09:06,09:41,16:21,17:26,18:51,21:11,22:26
07:46,00:00,09:13,09:47,00:00,17:32,18:57,21:17,22:32
07:51,00:00,09:18,09:52,00:00,17:37,19:02,21:22,22:37
08:05,08:15,09:45,10:10,17:35,18:00,19:30,21:45,23:00
