05:35,00:00,09:35,14:40,18:35,19:50
05:45,05:25,09:40,14:45,18:40,19:55
05:50,00:00,09:45,14:50,18:45,20:00
05:56,06:28,09:51,14:56,18:51,20:06
05:58,06:30,09:53,14:58,18:53,20:08
06:00,06:32,09:55,15:00,18:55,20:10
06:04,06:36,09:59,15:04,18:59,20:14
06:09,06:41,10:04,15:09,19:04,20:19
06:12,06:44,10:07,15:12,19:07,20:22
06:16,06:48,10:11,15:16,19:11,20:26
06:22,06:54,10:17,15:22,19:17,20:32
06:24,06:56,10:19,15:24,19:19,20:34
06:26,06:58,10:21,15:26,19:21,20:36
06:29,07:01,10:24,15:29,19:24,20:39
06:33,07:05,10:28,15:34,19:28,20:43
06:50,07:40,10:33,15:39,19:33,20:48
,,10:39,15:44,19:39,20:54
,,11:15,15:55,20:00,21:20
,,,16:00,,
,,,16:06,,
,,,16:15,,
,,,16:22,,
,,,16:45,,
