00:15,03:40,04:00,04:15,05:15,05:25,05:30,05:55,06:05,06:25,06:40,06:55,07:05,07:15,07:25,07:40,07:50,08:05,08:25,08:35,08:45,08:55,09:05,09:10,09:15,09:25,09:30,09:35,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:25,12:35,12:50,13:05,13:20,13:45,14:00,14:20,14:40,15:00,15:15,15:30,15:40,15:50,16:00,16:10,16:30,16:45,17:00,17:15,17:25,17:40,17:45,17:55,18:05,18:15,18:25,18:40,18:50,19:00,19:15,19:10,19:30,19:45,20:00,20:05,20:15,20:30,20:40,20:45,20:55,21:05,21:25,21:40,21:50,22:00,22:10,22:30,22:45,23:10,23:25,23:40
00:20,03:45,04:05,04:20,05:20,05:30,05:35,06:00,06:10,06:30,06:45,07:00,07:10,07:20,07:30,07:45,07:55,08:10,08:30,08:40,08:50,09:00,09:10,09:15,09:20,09:30,09:35,09:40,09:50,10:05,10:20,10:35,10:50,11:05,11:20,11:35,11:50,12:05,12:30,12:40,12:55,13:10,13:25,13:50,14:05,14:25,14:45,15:05,15:20,15:35,15:45,15:55,16:05,16:15,16:35,16:50,17:05,17:20,17:30,17:45,00:00,18:00,18:10,18:20,18:30,18:45,18:55,19:05,19:20,00:00,19:35,19:50,20:05,20:10,20:20,20:35,20:45,20:50,21:00,21:10,21:30,21:45,21:55,22:05,22:15,22:35,22:50,23:15,23:30,23:45
00:23,03:48,04:08,04:23,05:23,05:33,00:00,06:03,06:13,06:33,06:48,07:03,07:13,07:23,07:33,07:48,07:58,08:13,08:33,08:43,08:53,09:03,09:13,09:18,09:24,09:33,09:38,09:43,09:54,10:08,10:23,10:38,10:53,11:08,11:24,11:38,11:53,12:08,12:33,12:43,12:58,13:13,13:28,13:53,14:08,14:28,14:48,15:08,15:23,15:38,15:49,15:58,16:08,16:18,16:38,16:53,17:08,17:23,17:33,17:48,00:00,18:03,18:13,18:23,18:33,18:48,18:58,19:08,19:23,00:00,19:38,19:54,20:08,00:00,20:23,20:38,20:48,20:53,21:03,21:13,21:33,21:48,21:58,22:08,22:18,22:38,22:53,23:18,23:33,23:48
00:25,03:50,04:10,04:25,05:25,05:35,05:40,06:05,06:15,06:35,06:50,07:05,07:15,07:25,07:35,07:50,08:00,08:15,08:35,08:45,08:55,09:05,09:15,09:20,09:26,09:35,09:40,09:45,09:56,10:10,10:25,10:40,10:55,11:10,11:26,11:40,11:55,12:10,12:35,12:45,13:00,13:15,13:30,13:55,14:10,14:30,14:50,15:10,15:25,15:40,15:51,16:00,16:10,16:20,16:40,16:55,17:10,17:25,17:35,17:50,17:55,18:05,18:15,18:25,18:35,18:50,19:00,19:10,19:25,00:00,19:40,19:56,20:10,20:15,20:25,20:40,20:50,20:55,21:05,21:15,21:35,21:50,22:00,22:10,22:20,22:40,22:55,23:20,23:35,23:50
00:27,03:52,04:12,04:27,05:27,05:37,00:00,06:07,06:17,06:37,06:52,07:07,07:17,07:27,07:37,07:52,08:02,08:17,08:37,08:47,08:57,09:07,09:17,09:22,09:28,09:37,09:42,09:47,09:58,10:12,10:27,10:42,10:57,11:12,11:27,11:42,11:57,12:12,12:37,12:47,13:02,13:17,13:32,13:57,14:12,14:32,14:52,15:12,15:27,15:42,15:53,16:02,16:12,16:22,16:42,16:57,17:12,17:27,17:37,17:52,00:00,18:07,18:17,18:27,18:37,18:52,19:02,19:12,19:27,00:00,19:42,18:58,20:12,00:00,20:27,20:42,20:52,20:57,21:07,21:17,21:37,21:52,22:02,22:12,22:22,22:42,22:57,23:22,23:37,23:52
00:29,03:54,04:14,04:29,05:29,05:39,00:00,06:09,06:19,06:39,06:54,07:09,07:19,07:29,07:39,07:54,08:04,08:19,08:39,08:49,08:59,09:09,09:19,09:24,09:30,09:39,09:44,09:49,10:00,10:14,10:29,10:44,10:59,11:14,11:30,11:44,11:59,12:14,12:39,12:49,13:04,13:19,13:34,13:59,14:14,14:34,14:54,15:14,15:29,15:44,15:55,16:04,16:14,16:24,16:44,16:59,17:14,17:29,17:39,17:54,00:00,18:09,18:19,18:29,18:39,18:54,19:04,19:14,19:29,00:00,19:44,20:00,20:14,00:00,20:29,20:44,20:54,20:59,21:09,21:19,21:39,21:54,22:04,22:14,22:24,22:44,22:59,23:24,23:39,23:54
00:32,03:57,04:17,04:32,05:32,05:42,05:45,06:12,06:22,06:42,06:57,07:12,07:22,07:32,07:42,07:57,08:07,08:22,08:42,08:52,09:02,09:12,09:22,09:27,09:33,09:42,09:47,09:52,10:03,10:17,10:32,10:47,11:02,11:17,11:33,11:47,12:02,12:17,12:42,12:52,13:07,13:22,13:37,14:02,14:17,14:37,14:57,15:17,15:32,15:47,15:58,16:07,16:17,16:27,16:47,17:02,17:17,17:32,17:42,17:57,18:00,18:12,18:22,18:32,18:42,18:57,19:07,19:17,19:32,00:00,19:47,20:03,20:17,20:20,20:32,20:47,20:57,21:02,21:12,21:22,21:42,21:57,22:07,22:17,22:27,22:47,23:02,23:27,23:42,23:57
00:36,04:01,04:21,04:36,05:36,05:46,00:00,06:16,06:26,06:46,07:01,07:16,07:26,07:36,07:46,08:01,08:11,08:26,08:46,08:56,09:06,09:16,09:26,09:31,09:37,09:46,09:51,09:56,10:07,10:21,10:36,10:51,11:06,11:21,11:37,11:51,12:06,12:21,12:46,12:56,13:11,13:26,13:41,14:06,14:21,14:41,15:01,15:21,15:36,15:51,16:02,16:11,16:21,16:31,16:51,17:06,17:21,17:36,17:46,18:01,00:00,18:16,18:26,18:36,18:46,19:01,19:11,19:21,19:36,00:00,19:51,20:07,20:21,00:00,20:36,20:51,21:01,21:06,21:16,21:26,21:46,22:01,22:11,22:21,22:31,22:51,23:06,23:31,23:46,00:01
00:39,04:04,04:24,04:39,05:39,05:49,00:00,06:19,06:29,06:49,07:04,07:19,07:29,07:39,07:49,08:04,08:14,08:29,08:49,08:59,09:09,09:19,09:29,09:34,09:40,09:49,09:54,09:59,10:10,10:24,10:39,10:54,11:09,11:24,11:40,11:54,12:09,12:24,12:49,12:59,13:14,13:29,13:44,14:09,14:24,14:44,15:04,15:24,15:39,15:54,16:05,16:14,16:24,16:34,16:54,17:09,17:24,17:39,17:49,18:04,00:00,18:19,18:29,18:39,18:49,19:04,19:14,19:24,19:39,00:00,19:54,20:10,20:24,00:00,20:39,20:54,21:04,21:09,21:19,21:29,21:49,22:04,22:14,22:24,22:34,22:54,23:09,23:34,23:49,00:04
00:42,04:07,04:27,04:42,05:42,05:52,05:50,06:22,06:32,06:52,07:07,07:22,07:32,07:42,07:52,08:07,08:17,08:32,08:52,09:02,09:12,09:22,09:32,09:37,09:43,09:52,09:57,10:02,10:13,10:27,10:42,10:57,11:12,11:27,11:43,11:57,12:12,12:27,12:52,13:02,13:17,13:32,13:47,14:12,14:27,14:47,15:07,15:27,15:42,15:57,16:08,16:17,16:27,16:37,16:57,17:12,17:27,17:42,17:52,18:07,18:05,18:22,18:32,18:42,18:52,19:07,19:17,19:27,19:42,00:00,19:57,20:13,20:27,20:25,20:42,20:57,21:07,21:12,21:22,21:32,21:52,22:07,22:17,22:27,22:37,22:57,23:12,23:37,23:52,00:07
