00:15,04:25,05:00,05:35,05:50,06:15,06:45,07:10,07:30,07:45,08:00,08:30,08:50,09:22,09:55,10:25,11:35,12:10,13:15,13:40,14:15,14:35,15:10,15:35,16:35,17:05,17:35,18:00,18:30,18:55,19:35,20:10,20:35,21:15,21:45,22:35,23:15
00:22,04:32,05:07,05:42,05:57,06:22,06:52,07:17,07:37,07:52,08:07,08:37,08:57,09:29,10:02,10:32,11:42,12:17,13:22,13:47,14:22,14:42,15:17,15:42,16:42,17:12,17:42,18:07,18:37,19:02,19:42,20:17,20:42,21:22,21:52,22:42,23:22
00:26,04:36,05:11,05:46,06:01,06:26,06:56,07:21,07:41,07:56,08:11,08:41,09:01,09:33,10:06,10:36,11:46,12:21,13:26,13:51,14:26,14:46,15:21,15:46,16:46,17:16,17:46,18:11,18:41,19:06,19:46,20:21,20:46,21:26,21:56,22:46,23:26
00:28,04:38,05:13,05:48,06:03,06:28,06:58,07:23,07:43,07:58,08:13,08:43,09:03,09:35,10:08,10:38,11:48,12:23,13:28,13:53,14:28,14:48,15:23,15:48,16:48,17:18,17:48,18:13,18:43,19:08,19:48,20:23,20:48,21:28,21:58,22:48,23:28
00:30,04:40,05:15,05:50,06:05,06:30,07:00,07:25,07:45,08:00,08:15,08:45,09:05,09:37,10:10,10:40,11:50,12:25,13:30,13:55,14:30,14:50,15:25,15:50,16:50,17:20,17:50,18:15,18:45,19:10,19:50,20:25,20:50,21:30,22:00,22:50,23:30
00:34,04:44,05:19,05:54,06:09,06:34,07:04,07:29,07:49,08:04,08:19,08:49,09:09,09:41,10:14,10:44,11:54,12:29,13:34,13:59,14:34,14:54,15:29,15:54,16:54,17:24,17:54,18:19,18:49,19:14,19:54,20:29,20:54,21:34,22:04,22:54,23:34
00:39,04:49,05:24,05:59,06:14,06:39,07:09,07:34,07:54,08:09,08:24,08:54,09:14,09:46,10:19,10:49,11:59,12:34,13:39,14:04,14:39,14:59,15:34,15:59,16:59,17:29,17:59,18:24,18:54,19:19,19:59,20:34,20:59,21:39,22:09,22:59,23:39
00:42,04:52,05:27,06:02,06:17,06:42,07:12,07:37,07:57,08:12,08:27,08:57,09:17,09:49,10:22,10:52,12:02,12:37,13:42,14:07,14:42,15:02,15:37,16:02,17:02,17:32,18:02,18:27,18:57,19:22,20:02,20:37,21:02,21:42,22:12,23:02,23:42
00:46,04:56,05:31,06:06,06:25,06:46,07:16,07:41,08:01,08:16,08:31,09:01,09:21,09:53,10:26,10:56,12:06,12:41,13:46,14:11,14:46,15:06,15:41,16:06,17:06,17:36,18:06,18:31,19:01,19:26,20:06,20:41,21:06,21:46,22:16,23:06,23:46
00:52,05:02,05:37,06:12,00:00,06:52,07:22,07:47,08:07,08:22,08:37,09:07,09:27,09:59,10:32,11:02,12:12,12:47,13:52,14:17,14:52,15:12,15:47,16:12,17:12,17:42,18:12,18:37,19:07,19:32,20:12,20:47,21:12,21:52,22:22,23:12,23:52
00:54,05:04,05:39,06:14,00:00,06:54,07:24,07:49,08:09,08:24,08:39,09:09,09:29,10:01,10:34,11:04,12:14,12:49,13:54,14:19,14:54,15:14,15:49,16:14,17:14,17:44,18:14,18:39,19:09,19:34,20:14,20:49,21:14,21:54,22:24,23:14,23:54
00:56,05:06,05:41,06:16,00:00,06:56,07:26,07:51,08:11,08:26,08:41,09:11,09:31,10:03,10:36,11:06,12:16,12:51,13:56,14:21,14:56,15:16,15:51,16:16,17:16,17:46,18:16,18:41,19:11,19:36,20:16,20:51,21:16,21:56,22:26,23:16,23:56
00:59,05:09,05:44,06:19,00:00,06:59,07:29,07:54,08:14,08:29,08:44,09:14,09:34,10:06,10:39,11:09,12:19,12:54,13:59,14:24,14:59,15:19,15:54,16:19,17:19,17:49,18:19,18:44,19:14,19:39,20:19,20:54,21:19,21:59,22:29,23:19,23:59
01:03,05:13,05:48,06:23,00:00,07:03,07:33,07:58,08:18,08:33,08:48,09:18,09:38,10:10,10:43,11:13,12:23,12:58,14:03,14:28,15:03,15:23,15:58,16:23,17:23,17:53,18:23,18:48,19:18,19:43,20:23,20:58,21:23,22:03,22:33,23:23,00:03
01:08,05:18,05:53,06:28,00:00,07:08,07:38,08:03,08:23,08:38,08:53,09:23,09:43,10:15,10:48,11:18,12:28,13:03,14:08,14:33,15:25,15:28,16:03,16:28,17:28,17:58,18:28,18:53,19:23,19:48,20:28,21:03,21:28,22:08,22:38,23:28,00:08
01:14,05:24,05:59,06:34,00:00,07:14,07:44,08:09,08:29,08:44,08:59,09:29,09:49,10:21,10:54,11:24,12:34,13:09,14:14,14:39,00:00,15:34,16:09,16:34,17:34,18:04,18:34,18:59,19:29,19:54,20:34,21:09,21:34,22:14,22:44,23:34,00:14
01:35,05:33,06:08,06:43,00:00,07:50,08:15,08:35,08:40,09:00,09:20,09:40,10:25,11:05,11:17,11:50,13:05,13:35,14:45,14:50,00:00,15:50,16:45,16:50,18:00,18:25,19:15,19:12,19:50,20:05,21:10,21:40,21:45,22:40,23:15,00:05,00:50
